ond,avg_daily_searches,nb_days
BOD-RNS,33.0,1
BVE-OPO,33.0,1
BOD-ZRH,33.0,1
MPL-DXB,33.0,1
LYS-IZM,33.0,1
NCE-WAS,32.0,1
BSL-KIV,32.0,1
PAR-SDR,32.0,1
BOD-BSL,32.0,1
NCE-MRU,32.0,1
NTE-PAR,32.0,1
NTE-REK,32.0,1
NCE-AMM,32.0,1
TLS-MLA,32.0,1
PAR-HAJ,32.0,1
PAR-TRV,32.0,1
SXB-TLV,32.0,1
LYS-GLA,32.0,1
TLS-ACE,32.0,1
RNS-ATH,32.0,1
LYS-BEG,32.0,1
PAR-SXB,32.0,1
BSL-ACE,32.0,1
TLS-RIO,31.0,1
LYS-BNA,31.0,1
NTE-GLA,31.0,1
MRS-NVT,31.0,1
MRS-AUH,31.0,1
PAR-ZAZ,31.0,1
BSL-NBO,31.0,1
PAR-OXB,31.0,1
PAR-CFU,31.0,1
RNS-RAK,31.0,1
TLS-FNC,31.0,1
PAR-ERH,31.0,1
BSL-LCA,31.0,1
PAR-SGN,30.0,1
NCE-AGP,30.0,1
LYS-BOS,30.0,1
TLS-YVR,30.0,1
BOD-BUE,30.0,1
PAR-LEI,30.0,1
BOD-ACC,30.0,1
PAR-SJC,30.0,1
PAR-AUA,30.0,1
MRS-BOM,30.0,1
TLS-NCE,30.0,1
BIA-OPO,30.0,1
PAR-PLZ,30.0,1
PAR-NOS,30.0,1
TUF-RBA,30.0,1
RNS-LIL,29.0,1
MRS-SIN,29.0,1
RNS-MAD,29.0,1
LYS-EDI,29.0,1
BOD-DPS,29.0,1
BOD-BUH,29.0,1
BES-IST,29.0,1
BSL-BDS,29.0,1
NTE-SPU,29.0,1
LYS-MBJ,29.0,1
PAR-KWI,29.0,1
PAR-DNZ,29.0,1
PAR-CMH,29.0,1
PAR-YYT,29.0,1
NTE-BLQ,29.0,1
PAR-CAE,29.0,1
LYS-NAP,29.0,1
MRS-BES,28.0,1
PAR-PDX,28.0,1
LYS-EIN,28.0,1
NTE-SSA,28.0,1
MRS-BUE,28.0,1
LYS-KBL,28.0,1
TLS-SIN,28.0,1
SXB-IST,28.0,1
SXB-OUD,28.0,1
FNI-RAK,28.0,1
PAR-BES,28.0,1
LYS-MSY,28.0,1
MRS-BIQ,28.0,1
BOD-HAV,28.0,1
PAR-CHQ,28.0,1
NCE-BUE,28.0,1
BSL-CFU,28.0,1
PAR-CBR,28.0,1
TLS-VIE,28.0,1
NTE-TUN,28.0,1
PAR-MID,28.0,1
LYS-HAJ,28.0,1
BOD-KYA,28.0,1
SXB-MIL,28.0,1
MRS-AGP,28.0,1
NCE-DFW,28.0,1
NCE-CFR,28.0,1
PAR-MAO,28.0,1
MPL-MAD,28.0,1
PAR-EBL,28.0,1
BOD-PGF,28.0,1
TUF-OPO,28.0,1
SXB-ACE,28.0,1
AJA-SXB,27.0,1
LDE-MLA,27.0,1
PAR-ZAD,27.0,1
MPL-MIL,27.0,1
LIL-LON,27.0,1
LIG-LON,27.0,1
BSL-SDQ,27.0,1
BES-OPO,27.0,1
TLS-ZNZ,27.0,1
SXB-BCN,27.0,1
TLS-PMO,27.0,1
PAR-BOB,27.0,1
NCE-MAN,27.0,1
PAR-BJV,27.0,1
MRS-TNR,27.0,1
PAR-CUR,27.0,1
BOD-OLB,27.0,1
LYS-BIQ,27.0,1
PAR-BSL,27.0,1
PAR-INN,27.0,1
MRS-WRO,27.0,1
MPL-LIL,26.0,1
LYS-OSL,26.0,1
BOD-TYO,26.0,1
NCE-FNC,26.0,1
PAR-DHC,26.0,1
MPL-ALG,26.0,1
BIQ-BRU,26.0,1
MRS-CAY,26.0,1
PAR-CHC,26.0,1
NCE-JNB,26.0,1
BOD-BIA,26.0,1
MPL-PTP,26.0,1
MPL-BER,26.0,1
LYS-BHX,26.0,1
PAR-ULN,26.0,1
BOD-LIM,26.0,1
LYS-MLA,26.0,1
TLS-BHX,26.0,1
LYS-STR,26.0,1
PAR-ABQ,26.0,1
BOD-PNH,26.0,1
BSL-AGA,26.0,1
BSL-FRA,26.0,1
SXB-VIE,26.0,1
TLS-PTP,26.0,1
NTE-ORN,26.0,1
MPL-BOD,26.0,1
CFE-PAR,26.0,1
TLS-LUX,26.0,1
NTE-BUH,26.0,1
PAR-AOI,25.0,1
BSL-CAS,25.0,1
LYS-JRO,25.0,1
PGF-RAK,25.0,1
SXB-DXB,25.0,1
BSL-LJU,25.0,1
LYS-NCE,25.0,1
TLS-CAI,25.0,1
LYS-POZ,25.0,1
LIL-MRS,25.0,1
PAR-DBV,25.0,1
PAR-NDB,25.0,1
MRS-PUJ,25.0,1
BSL-BRI,25.0,1
SXB-CAS,25.0,1
BOD-BRU,25.0,1
MRS-MAA,25.0,1
BSL-SSH,25.0,1
NCE-CAS,25.0,1
LYS-JNB,25.0,1
TLS-FUE,25.0,1
LYS-GDL,25.0,1
NCE-VNO,25.0,1
NCE-HAM,25.0,1
NTE-ABJ,25.0,1
LIL-AJA,25.0,1
NCE-PMO,25.0,1
PAR-SNA,25.0,1
BSL-MOW,25.0,1
RNS-OPO,25.0,1
BIA-MRS,25.0,1
BSL-ATH,25.0,1
BOD-UFA,25.0,1
TLS-DPS,25.0,1
MRS-GLA,25.0,1
LYS-DLA,24.0,1
MRS-SPU,24.0,1
BOD-MOW,24.0,1
NCE-BIA,24.0,1
MRS-JTR,24.0,1
SXB-VLC,24.0,1
MRS-MAN,24.0,1
PAR-LGB,24.0,1
TLS-TOS,24.0,1
NCE-SIN,24.0,1
PAR-BAH,24.0,1
PAR-BFS,24.0,1
NCE-VLC,24.0,1
PAR-MDZ,24.0,1
CFE-LON,24.0,1
MRS-ETZ,24.0,1
BOD-VLC,24.0,1
TLS-SAO,24.0,1
PAR-MSY,24.0,1
NTE-IEV,24.0,1
NCE-BLL,24.0,1
MRS-LYS,24.0,1
SXB-LON,24.0,1
BOD-GLA,24.0,1
PAR-PHL,24.0,1
PAR-BBI,24.0,1
CFR-NCE,24.0,1
PAR-AMD,24.0,1
NCE-SPU,24.0,1
BIQ-MAD,24.0,1
TLS-BOO,24.0,1
NTE-CPH,24.0,1
PUF-ROM,24.0,1
LYS-YEI,24.0,1
MRS-LED,23.0,1
PAR-MDE,23.0,1
SXB-BRU,23.0,1
NTE-BRU,23.0,1
PAR-SFT,23.0,1
CMF-LON,23.0,1
LYS-DUS,23.0,1
LYS-LUX,23.0,1
NTE-BSL,23.0,1
PAR-NGO,23.0,1
MRS-RIX,23.0,1
PAR-SAL,23.0,1
MRS-ZRH,23.0,1
MRS-IEV,23.0,1
PAR-LIL,23.0,1
MRS-BTV,23.0,1
NCE-OGG,23.0,1
MRS-SSA,23.0,1
PAR-MKE,23.0,1
MRS-DUS,23.0,1
MRS-ZAG,23.0,1
PAR-KRT,23.0,1
NCE-LCA,23.0,1
PAR-AVL,23.0,1
PAR-ODS,22.0,1
LIL-GVA,22.0,1
SXB-MPL,22.0,1
MRS-BGO,22.0,1
MPL-PRG,22.0,1
LYS-PRN,22.0,1
PAR-VRN,22.0,1
CLY-PAR,22.0,1
LYS-ABZ,22.0,1
TLS-CPT,22.0,1
BOD-ZHT,22.0,1
NCE-PTP,22.0,1
LYS-DEL,22.0,1
BES-BQC,22.0,1
MRS-LIL,22.0,1
PAR-ULH,22.0,1
NCE-LED,22.0,1
BSL-WRO,22.0,1
BSL-ZAD,22.0,1
TLS-ISB,22.0,1
LYS-TBS,22.0,1
BOD-EDI,22.0,1
LYS-SFO,22.0,1
MRS-WAS,22.0,1
TLS-TBS,22.0,1
TLS-IBZ,21.0,1
BSL-PNA,21.0,1
NTE-HER,21.0,1
PAR-GIB,21.0,1
LYS-JAI,21.0,1
PAR-RZE,21.0,1
RNS-SEZ,21.0,1
PAR-DAB,21.0,1
BIA-BOD,21.0,1
NCE-BOM,21.0,1
TLS-SBH,21.0,1
PAR-CFE,21.0,1
PAR-ECN,21.0,1
MRS-MBJ,21.0,1
TLS-MSY,21.0,1
BOD-DUS,21.0,1
TLS-OLB,21.0,1
MRS-GRB,21.0,1
BOD-OSL,21.0,1
BES-TLS,21.0,1
BOD-FLR,21.0,1
LYS-HAM,21.0,1
PAR-SJU,21.0,1
PAR-TTU,21.0,1
BSL-NCL,21.0,1
MRS-FLR,21.0,1
LYS-ALY,21.0,1
LYS-HRG,21.0,1
BOD-CFR,21.0,1
NCE-CGN,21.0,1
NTE-PUJ,21.0,1
TLS-NKC,21.0,1
NTE-PNH,21.0,1
BSL-RHO,20.0,1
BSL-CKY,20.0,1
PAR-LAD,20.0,1
LYS-PNH,20.0,1
NCE-PUJ,20.0,1
BSL-BGO,20.0,1
BSL-LAX,20.0,1
PUF-MAD,20.0,1
RNS-CPH,20.0,1
NCE-USM,20.0,1
NCE-TCI,20.0,1
SXB-PAR,20.0,1
NCE-ABJ,20.0,1
LIL-ALG,20.0,1
BOD-SYD,20.0,1
PAR-TTE,20.0,1
LYS-ORK,20.0,1
MPL-GVA,20.0,1
PAR-BJS,20.0,1
CFR-MRS,20.0,1
BSL-BLQ,20.0,1
NTE-RNS,20.0,1
PAR-WDH,20.0,1
BSL-MLA,20.0,1
TLS-RBA,20.0,1
LYS-LPA,20.0,1
BIA-NCE,20.0,1
NCE-YOW,20.0,1
LIL-HEL,20.0,1
MRS-FSC,20.0,1
NCE-BES,20.0,1
BOD-DBV,20.0,1
MRS-RHO,20.0,1
BSL-LAS,20.0,1
LYS-SPU,20.0,1
BOD-HEL,20.0,1
PAR-WLG,20.0,1
PAR-DTM,20.0,1
NCE-EDI,20.0,1
NCE-CHI,20.0,1
BSL-ABZ,20.0,1
BOD-FNC,20.0,1
BOD-SJO,20.0,1
LDE-DUB,20.0,1
TLS-REK,20.0,1
TLS-PNH,20.0,1
MRS-ASE,20.0,1
SXB-FEZ,20.0,1
AJA-RUN,19.0,1
BOD-SVQ,19.0,1
BIQ-VCE,19.0,1
BOD-YLW,19.0,1
SXB-ROM,19.0,1
LYS-DEN,19.0,1
BES-YQB,19.0,1
PUF-DUS,19.0,1
MRS-BPS,19.0,1
BOD-STO,19.0,1
SXB-BUH,19.0,1
PAR-PNS,19.0,1
BOD-HKT,19.0,1
MPL-STO,19.0,1
BSL-LPA,19.0,1
LIL-SVQ,19.0,1
NTE-PMO,19.0,1
PAR-LUN,19.0,1
BSL-SKP,19.0,1
BSL-SEZ,19.0,1
LDE-ROM,19.0,1
PUF-FUE,19.0,1
LIL-LYS,19.0,1
LYS-TNG,19.0,1
NCE-PTY,19.0,1
PAR-ATQ,19.0,1
PAR-BAQ,19.0,1
NCE-GOA,19.0,1
MRS-FNC,19.0,1
TLS-JTR,19.0,1
LIL-VCE,19.0,1
MRS-CMH,19.0,1
PAR-GBJ,19.0,1
NCE-GLA,19.0,1
LYS-ZAG,19.0,1
TLS-BSB,19.0,1
PAR-TYS,19.0,1
SXB-LAX,19.0,1
MRS-PNH,19.0,1
SXB-GOA,18.0,1
MPL-BUH,18.0,1
PAR-GRR,18.0,1
PAR-AQJ,18.0,1
TLS-BRS,18.0,1
SXB-NAP,18.0,1
NCE-NBO,18.0,1
PAR-IAS,18.0,1
BSL-PMO,18.0,1
BSL-ADA,18.0,1
CLY-LYS,18.0,1
SXB-FRA,18.0,1
BSL-BEY,18.0,1
CFE-AMS,18.0,1
TLS-SKG,18.0,1
MPL-BRI,18.0,1
PAR-CWL,18.0,1
NTE-MLA,18.0,1
LYS-NOU,18.0,1
PAR-ELP,18.0,1
BSL-BHX,18.0,1
MPL-SXB,18.0,1
MRS-CNQ,18.0,1
LYS-ROV,18.0,1
BES-LUX,18.0,1
MRS-WAW,18.0,1
LYS-FNC,18.0,1
TLS-OSA,18.0,1
RNS-HEL,18.0,1
TLS-OUD,18.0,1
LYS-NUE,18.0,1
LIL-CAS,18.0,1
PAR-BTV,18.0,1
LYS-MST,18.0,1
RNS-HAV,18.0,1
PAR-LDE,18.0,1
BSL-AJA,18.0,1
LIL-VIE,17.0,1
NCE-SHA,17.0,1
LYS-DBV,17.0,1
PAR-KTW,17.0,1
TLS-GOT,17.0,1
SXB-NYC,17.0,1
LYS-AYT,17.0,1
LYS-EUN,17.0,1
BSL-NCE,17.0,1
NCE-DAC,17.0,1
MRS-ABJ,17.0,1
NCE-DEN,17.0,1
LYS-OLB,17.0,1
BSL-KRK,17.0,1
MRS-HKG,17.0,1
PAR-GBE,17.0,1
TLS-LCG,17.0,1
TLS-CAG,17.0,1
RNS-BHX,17.0,1
MRS-MUC,17.0,1
MPL-HEL,17.0,1
MPL-CAY,17.0,1
PAR-EFL,17.0,1
TLS-CGN,17.0,1
TLS-GOA,17.0,1
MRS-MOW,17.0,1
NCE-MCT,17.0,1
NCE-HAN,17.0,1
PAR-ROC,17.0,1
LYS-OVD,17.0,1
BSL-MRU,17.0,1
BSL-SCL,17.0,1
MRS-KUL,17.0,1
LYS-FLL,17.0,1
MPL-IST,17.0,1
TLS-YTO,17.0,1
BSL-PDL,17.0,1
MRS-JNB,17.0,1
BOD-AJA,17.0,1
NCE-BEG,17.0,1
LYS-HAH,17.0,1
NCE-HAV,17.0,1
LYS-BES,17.0,1
MPL-PUJ,17.0,1
TLS-MAH,17.0,1
MPL-DUB,17.0,1
PUF-TUN,17.0,1
MRS-MIR,17.0,1
BSL-YMQ,17.0,1
TLS-SCQ,17.0,1
PAR-ASR,16.0,1
BSL-RJL,16.0,1
BSL-FMY,16.0,1
MPL-BSL,16.0,1
PAR-OKC,16.0,1
LYS-AMM,16.0,1
MPL-BLQ,16.0,1
BOD-CPH,16.0,1
NCE-LPA,16.0,1
LIL-FUE,16.0,1
MPL-DUS,16.0,1
NCE-DBV,16.0,1
LDE-VCE,16.0,1
TLS-EDI,16.0,1
CFR-TLS,16.0,1
BSL-MSP,16.0,1
TLS-SYD,16.0,1
NCE-SSA,16.0,1
BES-FDF,16.0,1
GNO-IST,16.0,1
NTE-OVD,16.0,1
MPL-RNS,16.0,1
PAR-BGW,16.0,1
LYS-OGU,16.0,1
MRS-VNO,16.0,1
TLS-SEZ,16.0,1
RNS-MPL,16.0,1
LYS-MRS,16.0,1
NCE-TNG,16.0,1
MRS-HAM,16.0,1
CFE-TYO,16.0,1
NTE-LUX,16.0,1
BOD-MRU,16.0,1
TLS-BDS,16.0,1
BSL-AUS,16.0,1
MRS-TRN,16.0,1
PAR-BTH,16.0,1
LYS-BGO,16.0,1
TLS-YAO,16.0,1
PAR-TGU,16.0,1
MRS-IVL,16.0,1
LYS-ANC,16.0,1
LDE-AGP,16.0,1
TLS-HKT,16.0,1
NCE-CTA,16.0,1
PAR-SZX,16.0,1
PAR-GMZ,16.0,1
PAR-MGA,16.0,1
PAR-BUF,16.0,1
BSL-YQB,16.0,1
TLS-GLA,16.0,1
RDZ-BKK,16.0,1
MPL-LPA,16.0,1
PAR-TUS,15.0,1
MPL-LUX,15.0,1
LIL-DJE,15.0,1
NTE-RBA,15.0,1
PAR-PAD,15.0,1
PAR-FAE,15.0,1
BES-SJO,15.0,1
NTE-UIO,15.0,1
LYS-MAH,15.0,1
PAR-ZUH,15.0,1
TLS-ECN,15.0,1
NTE-HAM,15.0,1
PAR-PUY,15.0,1
MPL-ROM,15.0,1
MRS-IAS,15.0,1
PAR-RTM,15.0,1
BSL-BUE,15.0,1
MRS-IBZ,15.0,1
BES-BRU,15.0,1
LYS-NAT,15.0,1
PAR-TRD,15.0,1
LYS-LFW,15.0,1
LYS-SKG,15.0,1
TLS-IEV,15.0,1
PAR-FMY,15.0,1
LIL-CPH,15.0,1
LYS-BAH,15.0,1
PAR-ILD,15.0,1
LYS-DOH,15.0,1
TLS-EVE,15.0,1
PAR-LPB,15.0,1
MRS-DTM,15.0,1
PAR-PHX,15.0,1
PAR-SZZ,15.0,1
LIL-RBA,15.0,1
PAR-ARK,15.0,1
NTE-TRN,15.0,1
TLS-DLA,15.0,1
TLS-BRI,15.0,1
LIL-KRK,15.0,1
NCE-KSC,15.0,1
BSL-SJJ,15.0,1
PAR-GGT,15.0,1
SXB-RNS,15.0,1
PAR-CNX,15.0,1
NTE-WRO,15.0,1
NCE-EAS,15.0,1
RNS-PAR,15.0,1
BIQ-TIA,15.0,1
BOD-ALG,15.0,1
MPL-RBA,15.0,1
NCE-JTR,15.0,1
PAR-HTY,15.0,1
TLS-DFW,15.0,1
LYS-BFS,15.0,1
PAR-MLX,15.0,1
LYS-AAE,15.0,1
MRS-SGN,14.0,1
PAR-MCZ,14.0,1
PAR-NAN,14.0,1
PUF-MRU,14.0,1
PAR-GAN,14.0,1
PAR-GEG,14.0,1
LYS-BRI,14.0,1
AVN-MAD,14.0,1
TLS-CAY,14.0,1
NCE-DAR,14.0,1
ETZ-DUB,14.0,1
AJA-CFR,14.0,1
PAR-FDH,14.0,1
LYS-LIL,14.0,1
SXB-GVA,14.0,1
PAR-CSK,14.0,1
MRS-BLL,14.0,1
LYS-ASR,14.0,1
LYS-PUF,14.0,1
BSL-LYS,14.0,1
TLS-NUE,14.0,1
PAR-EIN,14.0,1
TLS-MOW,14.0,1
LYS-VIL,14.0,1
PAR-BJL,14.0,1
PGF-OPO,14.0,1
NCE-BSL,14.0,1
PAR-HOR,14.0,1
NTE-CAI,14.0,1
LIL-PAR,14.0,1
CFE-OKC,14.0,1
LYS-BKO,14.0,1
BSL-CUN,14.0,1
AVN-HAM,14.0,1
LYS-BRS,14.0,1
GNO-RAK,14.0,1
LYS-BOM,14.0,1
NCE-WDH,14.0,1
TLS-VRN,14.0,1
AJA-NTE,14.0,1
MRS-HAH,14.0,1
TLS-COO,14.0,1
MRS-HER,14.0,1
LYS-BOG,14.0,1
BOD-WRO,14.0,1
BSL-OUD,14.0,1
LYS-BIO,14.0,1
TLS-FMO,14.0,1
PAR-TGZ,14.0,1
NCE-ITO,14.0,1
PAR-CAN,14.0,1
BSL-HUY,14.0,1
TLS-SDR,14.0,1
BOD-SFO,14.0,1
MRS-KGL,14.0,1
TUF-CAS,14.0,1
TLS-ALG,14.0,1
BOD-NDR,14.0,1
AJA-TNG,14.0,1
TLS-BJM,14.0,1
BSL-NKC,14.0,1
MRS-EVN,14.0,1
PAR-AER,14.0,1
LYS-PMO,14.0,1
RDZ-PAR,14.0,1
NCE-SCQ,13.0,1
LYS-RIO,13.0,1
MPL-BOS,13.0,1
LYS-THR,13.0,1
LYS-EVN,13.0,1
PAR-ORK,13.0,1
TLS-JNB,13.0,1
NTE-AYT,13.0,1
BIQ-FDF,13.0,1
NTE-DJE,13.0,1
BSL-HTY,13.0,1
RNS-TUN,13.0,1
RNS-CAS,13.0,1
ANE-YAO,13.0,1
RNS-YAO,13.0,1
LYS-CCS,13.0,1
PAR-JUB,13.0,1
SXB-PRG,13.0,1
SXB-YMQ,13.0,1
PUF-SXB,13.0,1
PUF-SJO,13.0,1
LIL-PGF,13.0,1
RNS-ALC,13.0,1
NCE-KOA,13.0,1
PAR-VNX,13.0,1
TLS-TLV,13.0,1
CFE-DXB,13.0,1
GNO-DXB,13.0,1
BSL-DEL,13.0,1
PAR-HFD,13.0,1
BIQ-BER,13.0,1
MRS-HRG,13.0,1
TLS-DEL,13.0,1
LIL-DUS,13.0,1
ETZ-BRU,13.0,1
PIS-BCN,13.0,1
PIS-SOU,13.0,1
SXB-BRI,13.0,1
MPL-RUN,13.0,1
NCE-YTO,13.0,1
MRS-LAS,13.0,1
PAR-TOV,13.0,1
SXB-PTP,13.0,1
BIQ-BCN,13.0,1
FNI-DXB,13.0,1
BIA-AMS,13.0,1
BOD-CLY,13.0,1
SXB-ALG,13.0,1
BSL-KSC,13.0,1
BSL-MRV,13.0,1
PAR-VRA,13.0,1
AVN-DXB,13.0,1
NCE-FRU,13.0,1
MPL-RHO,13.0,1
PAR-KZR,13.0,1
PAR-REC,13.0,1
MRS-BRS,13.0,1
PAR-KHI,13.0,1
BSL-TOS,13.0,1
BES-RHO,13.0,1
BIQ-SVQ,13.0,1
BSL-TGD,13.0,1
PGF-LON,13.0,1
NCE-MBA,13.0,1
TLS-SAN,13.0,1
NTE-GOA,13.0,1
FSC-VNO,13.0,1
MRS-HOU,13.0,1
CFE-NQY,13.0,1
BES-ZNZ,13.0,1
PAR-PIX,13.0,1
LDE-SVQ,13.0,1
MRS-DFW,13.0,1
BIQ-AAL,13.0,1
NCE-AAL,12.0,1
BSL-EAS,12.0,1
NTE-DBV,12.0,1
TLS-SPU,12.0,1
BSL-BUH,12.0,1
LYS-MRU,12.0,1
PAR-FPO,12.0,1
PAR-OGU,12.0,1
SXB-CPH,12.0,1
BES-FRA,12.0,1
PAR-LBA,12.0,1
BOD-OVD,12.0,1
SXB-WAW,12.0,1
BOD-AUH,12.0,1
MRS-ORL,12.0,1
LIL-SEZ,12.0,1
PUF-FNC,12.0,1
MRS-ALY,12.0,1
LYS-TRN,12.0,1
BSL-IAS,12.0,1
NCE-LUN,12.0,1
MRS-SHJ,12.0,1
TLN-PAR,12.0,1
TLS-MGA,12.0,1
CFR-PRG,12.0,1
BOD-BRI,12.0,1
NCE-ALG,12.0,1
BSL-TZX,12.0,1
PAR-IXM,12.0,1
NTE-CAY,12.0,1
RNS-LPA,12.0,1
MRS-BHZ,12.0,1
MRS-GOA,12.0,1
NCE-SUF,12.0,1
MPL-BDS,12.0,1
BSL-USH,12.0,1
NCE-LIM,12.0,1
LYS-BHZ,12.0,1
MPL-YQB,12.0,1
PAR-HAR,12.0,1
MPL-VIE,12.0,1
NTE-STR,12.0,1
BES-ALC,12.0,1
BIQ-PUF,12.0,1
TLS-MAN,12.0,1
LIG-WRO,12.0,1
TLS-MEX,12.0,1
BSL-HEL,12.0,1
PAR-PEW,12.0,1
PAR-GJT,12.0,1
TLS-CTA,12.0,1
BIQ-BKK,12.0,1
RNS-SFO,12.0,1
PAR-RJL,12.0,1
TLS-NGO,12.0,1
PAR-ASU,12.0,1
PAR-TGD,12.0,1
MRS-CMB,12.0,1
NCE-MEX,12.0,1
BOD-PUJ,12.0,1
NCE-ZBF,12.0,1
PAR-HGA,12.0,1
BIA-IOM,12.0,1
PAR-PVD,12.0,1
RNS-LBA,12.0,1
MRS-FBM,12.0,1
NCE-PLQ,12.0,1
NCE-BGW,12.0,1
PUF-NYC,12.0,1
LIL-DUB,12.0,1
PAR-MYR,12.0,1
LIL-AGA,12.0,1
BSL-FNC,12.0,1
MPL-FAE,12.0,1
MRS-AUS,12.0,1
CFE-NTE,12.0,1
PAR-SZG,12.0,1
BSL-BIQ,12.0,1
PAR-ALF,12.0,1
NTE-IBZ,12.0,1
LYS-ARK,12.0,1
PAR-SKP,12.0,1
NCE-BWI,11.0,1
LYS-CFE,11.0,1
BOD-LJU,11.0,1
NCE-BER,11.0,1
LYS-AUH,11.0,1
FSC-KRK,11.0,1
MRS-LCG,11.0,1
PAR-CRK,11.0,1
TLS-SFO,11.0,1
SXB-PMI,11.0,1
PAR-ANU,11.0,1
NTE-LIG,11.0,1
TLS-JMK,11.0,1
PAR-ERC,11.0,1
NTE-RIX,11.0,1
PAR-NAT,11.0,1
MRS-AYT,11.0,1
PAR-MSN,11.0,1
BIQ-ATH,11.0,1
CFE-BFS,11.0,1
NTE-TRS,11.0,1
LYS-SSA,11.0,1
PAR-KYA,11.0,1
MRS-AGA,11.0,1
BOD-ORK,11.0,1
PAR-ROV,11.0,1
BSL-BAK,11.0,1
MRS-UIO,11.0,1
PAR-YBG,11.0,1
BES-MAD,11.0,1
BOD-INV,11.0,1
LYS-CUZ,11.0,1
PAR-SAT,11.0,1
MRS-KIN,11.0,1
NTE-DXB,11.0,1
PAR-MKK,11.0,1
BIQ-MRS,11.0,1
CFE-BER,11.0,1
PAR-PNQ,11.0,1
MRS-CGN,11.0,1
BSL-ATL,11.0,1
PUF-NTE,11.0,1
SXB-EDI,11.0,1
MRS-PUF,11.0,1
NTE-TZX,11.0,1
TLS-LDE,11.0,1
PGF-NTE,11.0,1
NTE-KRK,11.0,1
PAR-ASE,11.0,1
BIA-RUN,11.0,1
TLS-PIS,11.0,1
MRS-LEJ,11.0,1
LIG-MPL,11.0,1
BIA-TLS,11.0,1
BOD-OUD,11.0,1
MRS-BFS,11.0,1
MRS-CHI,11.0,1
PGF-PTP,11.0,1
MRS-SVD,11.0,1
PAR-GYN,11.0,1
BOD-CGN,11.0,1
BIQ-RAK,11.0,1
NCE-TRN,11.0,1
PAR-GCM,11.0,1
MRS-FUE,11.0,1
TLS-ORL,11.0,1
MRS-NCE,11.0,1
MRS-COO,11.0,1
SXB-TLL,11.0,1
PAR-MFM,11.0,1
NCE-THR,11.0,1
LYS-MMA,11.0,1
BVE-BOD,11.0,1
MRS-DEL,11.0,1
MPL-LIG,11.0,1
MPL-HAJ,11.0,1
PAR-TER,11.0,1
PAR-BZE,11.0,1
RDZ-LPA,11.0,1
MRS-PMO,10.0,1
TLS-STR,10.0,1
MPL-AGA,10.0,1
BIQ-MRU,10.0,1
PAR-SKT,10.0,1
BSL-REK,10.0,1
PAR-SRZ,10.0,1
FNI-LON,10.0,1
BSL-PMI,10.0,1
PAR-ZIG,10.0,1
BSL-EIN,10.0,1
NCE-LBA,10.0,1
LYS-UIO,10.0,1
CFR-MPL,10.0,1
BVE-FDF,10.0,1
BSL-HAJ,10.0,1
LYS-LOS,10.0,1
BOD-SSH,10.0,1
CFE-VLC,10.0,1
TLS-FLL,10.0,1
PAR-PRN,10.0,1
BSL-IBZ,10.0,1
BSL-FOR,10.0,1
LIL-HAV,10.0,1
LDE-LPA,10.0,1
TLS-RDU,10.0,1
LDE-LON,10.0,1
BOD-BRS,10.0,1
PAR-KRR,10.0,1
TLS-THR,10.0,1
LIL-MLA,10.0,1
PAR-ZSE,10.0,1
BIQ-FNC,10.0,1
PUF-RAK,10.0,1
MRS-SXM,10.0,1
MRS-GOT,10.0,1
PGF-DXB,10.0,1
LIL-NAP,10.0,1
MRS-BKO,10.0,1
BSL-TYO,10.0,1
PAR-DOM,10.0,1
GNO-OVD,10.0,1
PAR-LPL,10.0,1
LYS-SYD,10.0,1
TLS-AUH,10.0,1
PAR-SPK,10.0,1
PGF-GVA,10.0,1
LYS-SFG,10.0,1
BSL-DOH,10.0,1
PAR-MTY,10.0,1
PAR-TSR,10.0,1
TLS-BIO,10.0,1
PGF-DUB,10.0,1
PAR-DUR,10.0,1
LYS-HAV,10.0,1
PUF-ABZ,10.0,1
MRS-KIV,10.0,1
LIL-AMS,10.0,1
FNI-VCE,10.0,1
RNS-DKR,10.0,1
ETZ-TOS,10.0,1
LYS-RUH,10.0,1
ANE-RAK,10.0,1
RNS-BIO,10.0,1
BIQ-BSL,10.0,1
BSL-TGZ,10.0,1
LYS-IOS,10.0,1
FNI-TRN,10.0,1
BOD-WAW,10.0,1
LIL-JCN,10.0,1
LDE-FLR,10.0,1
MRS-LIM,10.0,1
LYS-RHO,10.0,1
BSL-RAI,10.0,1
TLS-LAS,10.0,1
TLS-GSO,10.0,1
BOD-FLN,10.0,1
PAR-SCE,10.0,1
MRS-VXE,10.0,1
MPL-CFR,10.0,1
NTE-HRL,10.0,1
MRS-SNN,10.0,1
MRS-BLQ,10.0,1
BIQ-LIS,10.0,1
BOD-CHI,10.0,1
LYS-CCP,10.0,1
BIA-STR,10.0,1
PUF-IVL,10.0,1
NTE-LIM,10.0,1
BOD-SOU,10.0,1
LYS-ANU,10.0,1
PAR-DCM,10.0,1
MRS-RAI,9.0,1
LIG-TUN,9.0,1
BSL-BJV,9.0,1
TLS-USM,9.0,1
NCE-BEY,9.0,1
LIL-PMI,9.0,1
LIL-BOM,9.0,1
LYS-MLE,9.0,1
MRS-JKT,9.0,1
AJA-MRS,9.0,1
PAR-OMR,9.0,1
PIS-MRS,9.0,1
NCE-SYD,9.0,1
PGF-DZA,9.0,1
RNS-DUB,9.0,1
BIQ-AMS,9.0,1
