ond,avg_daily_searches,nb_days
TLS-MAD,202.0,1
PAR-RDU,202.0,1
PAR-ORN,201.0,1
NCE-HKT,199.0,1
PAR-NBO,199.0,1
PAR-AUH,197.0,1
BOD-BES,193.0,1
PAR-SSA,191.0,1
BOD-CAS,188.0,1
LYS-PTP,187.0,1
LYS-BER,186.0,1
LYS-CAS,186.0,1
NTE-MRS,186.0,1
PAR-MNL,185.0,1
NTE-LIS,184.0,1
PAR-YHZ,184.0,1
TLS-OPO,184.0,1
MRS-DPS,184.0,1
LYS-CZL,181.0,1
MRS-BIA,178.0,1
PAR-HER,178.0,1
MRS-PRG,177.0,1
PAR-HAN,177.0,1
NCE-PMI,176.0,1
NTE-TLS,175.0,1
SXB-NTE,175.0,1
BOD-PAR,175.0,1
BSL-PRN,173.0,1
PAR-JKT,173.0,1
PAR-MSP,172.0,1
PAR-RVN,171.0,1
PAR-ACE,171.0,1
LYS-DUB,169.0,1
MRS-AMS,169.0,1
NTE-LYS,169.0,1
BSL-ROM,168.0,1
MRS-RBA,166.0,1
MRS-SXB,166.0,1
MRS-CAS,166.0,1
BSL-IZM,164.0,1
NCE-MAD,164.0,1
PAR-CWB,162.0,1
BSL-BUD,162.0,1
MRS-CZL,162.0,1
PAR-ZHT,161.0,1
MRS-MAD,161.0,1
AJA-PAR,161.0,1
NTE-PMI,160.0,1
NTE-BER,160.0,1
MPL-NTE,160.0,1
MPL-PAR,159.0,1
PAR-CKY,158.0,1
PAR-SOF,156.0,1
TLS-PMI,156.0,1
LYS-ATH,156.0,1
PAR-TIA,155.0,1
NCE-SJO,154.0,1
TLS-ROM,154.0,1
NCE-FRA,154.0,1
BSL-HRG,154.0,1
BOD-BCN,154.0,1
TLS-GVA,153.0,1
PAR-BEG,153.0,1
TLS-AMS,152.0,1
PAR-CLY,151.0,1
BOD-AGA,150.0,1
PAR-TPA,150.0,1
NTE-GVA,148.0,1
NCE-BUD,148.0,1
PAR-GDN,147.0,1
BOD-PTP,147.0,1
PAR-SDQ,146.0,1
NTE-AMS,145.0,1
PAR-BIA,145.0,1
MRS-RUN,145.0,1
PAR-DOH,145.0,1
NCE-MOW,145.0,1
NCE-NAP,145.0,1
BSL-BCN,144.0,1
BSL-AYT,144.0,1
BSL-VIE,143.0,1
PAR-JNB,143.0,1
PAR-GUA,143.0,1
MRS-PTP,142.0,1
MRS-ROM,142.0,1
PAR-FNA,142.0,1
PAR-FNC,141.0,1
BSL-PRG,141.0,1
LYS-SVQ,141.0,1
NCE-SXB,141.0,1
NTE-MPL,141.0,1
NCE-BRU,140.0,1
NCE-CPH,140.0,1
TLS-PRG,139.0,1
PAR-CZL,139.0,1
LYS-PAR,138.0,1
TLS-BKK,138.0,1
